Column Name,kPB,aCH2,aT/O,aC/P,aB/P pH 7.6,aB/P pH 2.7,Type,Particle Size,TPP/SPP,Pore Size [A]
Resolve C18,2.4,1.46,1.59,1.29,4.06,1.23,10,5,1,90
Selectosil C18,4.94,1.45,1.69,0.68,1.98,0.14,10,5,1,100
Shimadzu Pathfinder AP,1.74,1.39,2.53,0.18,1,-0.01,25,5,1,100
Shimadzu Pathfinder AS,2.63,1.41,2.67,0.19,0.31,0,25,5,1,100
Shimadzu Pathfinder MR,2.08,1.39,2.75,0.14,0.24,-0.03,25,5,1,100
Shim-pack GISS C18,2.9,1.44,1.22,0.44,0.25,0.13,10,5,1,200
Shim-pack GIST C18,7.94,1.46,1.15,0.4,0.24,0.1,10,5,1,100
Shim-pack GIST C18-AQ,6.81,1.46,1.27,0.44,0.26,0.11,6,5,1,100
Shim-pack Scepter C18,6.32,1.44,1.26,0.46,0.25,0.11,10,5,1,120
Shim-pack Velox C18,4.13,1.5,1.55,0.34,0.3,0.1,10,5,0,90
SMT Total coverage C18,7.26,1.48,1.59,0.56,0.93,0.07,10,5,1,100
Spherisorb A5Y,0.73,1.41,1.71,0.84,1.44,13.39,10,5,1,80
Spherisorb ODS1,1.78,1.47,1.64,1.57,2.84,2.55,10,5,1,80
Spherisorb ODS2,3,1.51,1.56,0.59,0.76,0.23,10,5,1,80
Spherisorb ODSB,5.09,1.46,1.78,0.8,3.56,0.06,10,5,1,80
Spherisorb phenyl,0.05,1,1,5.91,15.1,1,30,5,1,80
Stability 100 BS23,2.59,1.3,2.77,0.14,0.04,-0.07,1,5,1,100
Summit ODS (W),5.45,1.47,1.29,0.56,0.4,0.1,10,5,1,120
